k5_pace_minkm,k10_pace_minkm,mh_pace_minkm,has_k5_data,has_k10_data,slowdown_10k_to_hm,slowdown_5k_to_hm,sex_M,sex_F,age_input,age_squared,bmi_input,endurancecat_input,typical_km_week,max_km_week,training_volume_ratio,has_sprint,has_tempo,injury_history,footwear_type,k5_pace_squared,k10_pace_squared,mh_pace_squared,mh_pace_cubed,sex_pace_interaction,age_pace_interaction,bmi_pace_interaction,training_pace_interaction,endurance_pace_interaction,age_bmi_interaction
5.4,,6.351463443535964,1,0,,1.1761969339881415,1,0,54.0,2916.0,21.385881423950195,1,25.0,32.0,1.28,0,0,0,1,29.160000000000004,,40.34108787457373,256.22494490782697,6.351463443535964,342.97902595094206,135.8316440720145,158.7865860883991,6.351463443535964,1154.8375968933105
,,3.8156179642137693,0,0,,,1,0,45.0,2025.0,22.626262664794922,1,45.0,65.0,1.4444444444444444,1,1,0,2,,,14.55894044883083,55.55135471647739,3.8156179642137693,171.7028083896196,86.33317428681082,171.7028083896196,3.8156179642137693,1018.1818199157715
4.156666666666667,,4.495003357427815,1,0,,1.0813961565584156,1,0,34.0,1156.0,23.08344268798828,3,38.0,50.0,1.3157894736842106,1,1,0,1,17.277877777777782,,20.205055183287328,90.82179088589082,4.495003357427815,152.83011415254572,103.76015238349987,170.81012758225697,13.485010072283444,784.8370513916016
,,5.095390449105344,0,0,,,0,1,35.0,1225.0,22.019502639770508,2,28.0,38.0,1.3571428571428572,1,1,1,2,,,25.963003828833962,132.29164173952603,0.0,178.33866571868705,112.19796344473656,142.67093257494963,10.190780898210688,770.6825923919678
,,4.434174665244697,0,0,,,1,0,37.0,1369.0,23.883041381835938,2,35.0,40.0,1.1428571428571428,1,1,0,1,,,19.66190496189792,87.18432085249677,4.434174665244697,164.0644626140538,105.90157702432762,155.1961132835644,8.868349330489394,883.6725311279297
,,5.30868586325394,0,0,,,1,0,42.0,1764.0,25.97402572631836,1,20.0,35.0,1.75,0,0,1,2,,,28.18214559471223,149.61015791481313,5.30868586325394,222.96480625666547,137.88794318510043,106.1737172650788,5.30868586325394,1090.909080505371
,3.9666666666666663,4.091322036576213,0,1,1.0314257235066084,,1,0,45.0,2025.0,21.063642501831055,1,75.0,90.0,1.2,1,1,0,2,,15.734444444444442,16.738916006974133,68.48429592773158,4.091322036576213,184.10949164592958,86.17814473830471,306.849152743216,4.091322036576213,947.8639125823975
,,5.274716593593237,0,0,,,0,1,50.0,2500.0,24.02800178527832,2,27.0,33.0,1.2222222222222223,1,0,0,2,,,27.822635142727847,146.75651526483693,0.0,263.7358296796619,126.74089972769549,142.4173480270174,10.549433187186475,1201.400089263916
,,4.314887229924556,0,0,,,1,0,33.0,1089.0,24.135494232177734,2,25.0,35.0,1.4,1,1,0,2,,,18.61825180696601,80.33565696539745,4.314887229924556,142.39127858751036,104.1419358503415,107.8721807481139,8.629774459849113,796.4713096618652
,,3.6457716159102582,0,0,,,1,0,26.0,676.0,23.277759552001953,2,65.0,76.0,1.1692307692307693,1,1,0,2,,,13.291650675376895,48.4583227608835,3.6457716159102582,94.79006201366671,84.86539505667261,236.9751550341668,7.2915432318205164,605.2217483520508
,,5.367144606390963,0,0,,,0,1,54.0,2916.0,21.871646881103516,1,40.0,51.0,1.275,1,1,0,2,,,28.806241225911606,154.60726222604848,0.0,289.825808745112,117.38829159080245,214.6857842556385,5.367144606390963,1181.0689315795898
4.286666666666667,,4.602441047517478,1,0,,1.0736643190165187,0,1,32.0,1024.0,21.3707332611084,1,62.0,74.0,1.1935483870967742,1,1,0,2,18.375511111111116,,21.182463595873777,97.49103994119415,0.0,147.2781135205593,98.35753997647234,285.3513449460836,4.602441047517478,683.8634643554688
,,4.6079709286250345,0,0,,,1,0,44.0,1936.0,22.57785987854004,2,45.0,50.0,1.1111111111111112,1,1,0,2,,,21.233396079053463,97.84287184825915,4.6079709286250345,202.7507208595015,104.03812195088206,207.35869178812655,9.215941857250069,993.4258346557617
,4.63,4.750167871390765,0,1,1.0259541838856945,,0,1,35.0,1225.0,25.247516632080078,2,37.0,52.0,1.4054054054054055,1,1,1,2,,21.436899999999998,22.564094806393072,107.1832381963436,0.0,166.25587549867677,119.92994233811076,175.75621124145832,9.50033574278153,883.6630821228027
